"会場","開催日","箱番号","番号","レーン名","品名","ブランド名","枠","脇石","重量","品番","ランク","スタート価格","予想時刻","オークション結果","落札価格"
"JBA東京","2024/04/30","513","1","---","時計","ROLEX","SS","AT","","126300 ﾃﾞｲﾄｼﾞｬｽﾄ 箱 ｶｰﾄﾞ 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","1116000"
"JBA東京","2024/04/30","513","2","---","時計","ROLEX","SS","AT","","16600 ｼｰﾄﾞｩｴﾗｰ 箱 保 ｺﾏ1 別展 旧J U番","","0","","落札","1038000"
"JBA東京","2024/04/30","513","3","---","時計","ROLEX","SS","AT","","16570 ｴｸｽﾌﾟﾛｰﾗｰⅡ 箱 保 ｺﾏ1 ｹｰｽｶﾊﾞｰ 新J F番","","0","","落札","834000"
"JBAライブ(宝石・時計)","2024/04/22","401","7","【B】時計","時計","ROLEX","YG/SS","24.5mm","","67193 ｵｲｽﾀｰﾊﾟｰﾍﾟﾁｭｱﾙ AT 箱 保 旧J X番","AB/AB","250000","10:32","落札","340000"
"JBAライブ(宝石・時計)","2024/04/22","406","3","【B】時計","時計","ROLEX","YG/SS","26mm","","69173 ﾃﾞｲﾄｼﾞｬｽﾄ AT 新J W番","AB/B","200000","11:01","落札","374000"
"JBAライブ(宝石・時計)","2024/04/22","406","6","【B】時計","時計","ROLEX","YG/SS","26mm","","79173G ﾃﾞｲﾄｼﾞｬｽﾄ 10P AT ｹｰｽ 保 新J 新P Y番 内箱蝶番破損 ｼﾘｱﾙ末尾に若干の傷","AB/AB","400000","11:02","落札","534000"
"JBAライブ(宝石・時計)","2024/04/22","431","2","【B】時計","時計","ROLEX","","","","BOX･ｹｰｽ 4点ｾｯﾄ(現行含む) BOX3 ｹｰｽ1","","40000","12:43","落札","53000"
"JBAライブ(宝石・時計)","2024/04/22","431","3","【B】時計","時計","ROLEX","","","","BOX 3点ｾｯﾄ(現行含む)","","40000","12:44","落札","51000"
"JBAライブ(宝石・時計)","2024/04/22","431","4","【B】時計","時計","ROLEX","","","","BOX 3点ｾｯﾄ(現行含む)","","40000","12:44","落札","52000"
"JBAライブ(宝石・時計)","2024/04/15","404","1","【B】時計","時計","ROLEX","YG/SS","26mm","","69173 ﾃﾞｲﾄｼﾞｬｽﾄ AT ｹｰｽ 保 ｺﾏ3 新J W番","AB/AB","360000","10:51","落札","435000"
"JBAライブ(宝石・時計)","2024/04/15","423","1","【B】時計","時計","ROLEX","YG/SS","35.5mm","","16233 ﾃﾞｲﾄｼﾞｬｽﾄ AT 旧J L番","AB/AB","560000","12:00","落札","650000"
"JBAライブ(宝石・時計)","2024/04/15","432","1","【B】時計","時計","ROLEX","","","","BOX 4点ｾｯﾄ(現行含む)","","31000","12:32","落札","70000"
"JBAライブ(宝石・時計)","2024/04/15","432","2","【B】時計","時計","ROLEX","","","","BOX 3点ｾｯﾄ(現行含む)","","23000","12:33","落札","50000"
"JBAライブ(宝石・時計)","2024/04/15","432","3","【B】時計","時計","ROLEX","","","","BOX 3点ｾｯﾄ(現行含む)","","17000","12:33","落札","40000"
"JBAライブ(宝石・時計)","2024/04/15","432","4","【B】時計","時計","ROLEX","","","","BOX 5点ｾｯﾄ","","16000","12:33","落札","35000"
"JBAライブ(宝石・時計)","2024/04/15","432","5","【B】時計","時計","ROLEX","","","","BOX 5点ｾｯﾄ","","15000","12:34","落札","27000"
"JBAライブ(宝石・時計)","2024/04/15","432","6","【B】時計","時計","ROLEX","","","","BOX 6点ｾｯﾄ","","16000","12:34","落札","29000"
"JBAライブ(宝石・時計)","2024/04/15","432","7","【B】時計","時計","ROLEX","","","","BOX･ｹｰｽ 6点ｾｯﾄ BOX5 ｹｰｽ1","","15000","12:34","落札","28000"
"JBAライブ(宝石・時計)","2024/04/15","433","1","【B】時計","時計","ROLEX","","","","BOX 3点ｾｯﾄ(現行含む)","","23000","12:36","落札","50000"
"JBAライブ(宝石・時計)","2024/04/15","433","2","【B】時計","時計","ROLEX","","","","BOX 4点ｾｯﾄ(現行含む)","","21000","12:40","落札","42000"
"JBAライブ(宝石・時計)","2024/04/15","433","3","【B】時計","時計","ROLEX","","","","BOX･ｹｰｽ 4点ｾｯﾄ BOX3 ｹｰｽ","","17000","12:40","落札","30000"
"JBAライブ(宝石・時計)","2024/04/15","433","4","【B】時計","時計","ROLEX","","","","BOX 5点ｾｯﾄ","","16000","12:40","落札","25000"
"JBAライブ(宝石・時計)","2024/04/15","433","5","【B】時計","時計","ROLEX","","","","BOX 5点ｾｯﾄ","","15000","12:41","落札","25000"
"JBAライブ(宝石・時計)","2024/04/15","433","6","【B】時計","時計","ROLEX","","","","BOX･ｹｰｽ 6点ｾｯﾄ BOX5 ｹｰｽ1","","17000","12:41","落札","26000"
"JBAライブ(宝石・時計)","2024/04/15","433","7","【B】時計","時計","ROLEX","","","","ｹｰｽ 8点ｾｯﾄ","","14000","12:41","落札","21000"
"JBAライブ(宝石・時計)","2024/04/15","434","1","【B】時計","時計","ROLEX","","","","BOX･ｹｰｽ 4点ｾｯﾄ(現行含む) BOX3 ｹｰｽ1","","26000","12:43","落札","50000"
"JBAライブ(宝石・時計)","2024/04/15","434","2","【B】時計","時計","ROLEX","","","","BOX 3点ｾｯﾄ(現行含む)","","23000","12:43","落札","36000"
"JBAライブ(宝石・時計)","2024/04/15","434","3","【B】時計","時計","ROLEX","","","","BOX 3点ｾｯﾄ(現行含む)","","17000","12:43","落札","30000"
"JBAライブ(宝石・時計)","2024/04/15","434","4","【B】時計","時計","ROLEX","","","","BOX 5点ｾｯﾄ","","18000","12:44","落札","35000"
"JBAライブ(宝石・時計)","2024/04/15","434","5","【B】時計","時計","ROLEX","","","","BOX 6点ｾｯﾄ","","18000","12:44","落札","34000"
"JBAライブ(宝石・時計)","2024/04/15","434","6","【B】時計","時計","ROLEX","","","","ｹｰｽ 8点ｾｯﾄ","","19000","12:44","落札","31000"
"JBA金沢","2024/04/08","201","1","---","時計","ROLEX","YG","AT","","79178G A番 ｼｬﾝﾊﾟﾝ","","0","","落札","1150000"
"JBA金沢","2024/04/08","201","2","---","時計","ROLEX","YG","AT","73.3g","69178 R番 ｼｬﾝﾊﾟﾝ","","0","","落札","900000"
"JBA金沢","2024/04/08","201","3","---","時計","ROLEX","WG/SS","AT","","16234 S番 ｼﾙﾊﾞｰ 保","","0","","落札","740000"
