会場,開催日,箱番号,番号,レーン名,品名,ブランド名,枠,脇石,重量,品番,,ランク,スタート価格,予想時刻,オークション結果,落札価格
JBA東京,2024/05/31,564,2,---,時計,ROLEX,SS,AT,,16610, ｻﾌﾞﾏﾘｰﾅﾃﾞｲﾄ 黒文字盤 箱 ｶｰﾄﾞ ﾌﾟﾗｲｽﾀｸﾞ 別展 新J V番 ﾙｰﾚｯﾄ,,0,,落札,1250000
JBAライブ(宝石・時計),2024/05/20,401,5,【B】時計,時計,ROLEX,WG/SS,36mm,,116264, ﾀｰﾉｸﾞﾗﾌ AT 保 D番 新J ﾙｰﾚｯﾄ,AB/AB,750000,10:31,落札,820000
JBAライブ(宝石・時計),2024/05/20,405,7,【B】時計,時計,ROLEX,WG/SS,36mm,,1601, ﾃﾞｲﾄｼﾞｬｽﾄ AT 旧J 13番,B/B,300000,10:45,落札,370000
JBAライブ(宝石・時計),2024/05/20,406,6,【B】時計,時計,ROLEX,SS,40mm,,126300, ｵｲｽﾀｰﾊﾟｰﾍﾟﾁｭｱﾙ ﾃﾞｲﾄｼﾞｬｽﾄ AT ｶｰﾄﾞ ﾀｸﾞ 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ,A/A,900000,10:52,落札,1058000
JBAライブ(宝石・時計),2024/05/20,409,6,【B】時計,時計,ROLEX,SS,34mm,,14000, ｴｱｷﾝｸﾞ AT ｺﾏ2 旧J E番,A/AB,370000,11:04,落札,410000
JBAライブ(宝石・時計),2024/05/20,415,4,【B】時計,時計,ROLEX,SS,35mm,,114270, ｴｸｽﾌﾟﾛｰﾗｰⅠ AT ｺﾏ2 新J D番,AB/AB,500000,11:31,落札,631000
JBAライブ(宝石・時計),2024/05/20,415,7,【B】時計,時計,ROLEX,SS,34.5mm,,15210, ﾊﾟｰﾍﾟﾁｭｱﾙﾃﾞｲﾄ AT 不動 新J Y番 内部作動確認済み･針動かず,AB/AB,280000,11:32,落札,351000
JBAライブ(宝石・時計),2024/05/20,417,3,【B】時計,時計,ROLEX,WG/SS,35mm,,1601, ﾃﾞｲﾄｼﾞｬｽﾄ AT J番 旧J,AB/AB,220000,11:40,落札,360000
JBAライブ(宝石・時計),2024/05/20,423,3,【B】時計,時計,ROLEX,SS,40mm,,16710, GMTﾏｽﾀｰⅡ AT 作動確認済み(測定不可) 旧J S番,B/AB,880000,12:04,落札,1100000
JBAライブ(宝石・時計),2024/05/20,423,5,【B】時計,時計,ROLEX,SS,35mm,,114270, ｴｸｽﾌﾟﾛｰﾗｰⅠ AT 新J P番,AB/AB,450000,12:10,落札,571000
JBAライブ(宝石・時計),2024/05/20,423,7,【B】時計,時計,ROLEX,YG,16mm,,ﾌﾟﾚｼｼﾞｮﾝ 手巻き 20番 総重量52.2g 尾錠に18K･750の刻印あり,AB/AB,270000,12:11,落札,363000
JBAライブ(宝石・時計),2024/05/20,431,7,【B】時計,時計,ROLEX,SS,40mm,,16710, GMTﾏｽﾀｰⅡ AT 旧J P番,AB/AB,1000000,12:34,落札,1200000
JBAライブ(宝石・時計),2024/05/13,417,5,【B】時計,時計,ROLEX,SS,35.5mm,,14270, ｴｸｽﾌﾟﾛｰﾗｰⅠ AT 保 新J A番,AB/AB,560000,11:51,落札,645000
JBAライブ(宝石・時計),2024/05/13,420,3,【B】時計,時計,ROLEX,YG/SS,35mm,,16233, ﾃﾞｲﾄｼﾞｬｽﾄ AT 箱 保 新J S番,AB/AB,600000,12:02,落札,736000
JBAライブ(宝石・時計),2024/05/13,425,3,【B】時計,時計,ROLEX,WG/SS,35mm,,16234G, ﾃﾞｲﾄｼﾞｬｽﾄ 10Pﾀﾞｲﾔ AT 旧J 旧P X番,B/B,520000,12:16,落札,585000
JBAライブ(宝石・時計),2024/05/13,437,10,【B】時計,時計,ROLEX,WG/SS,30.5mm,,68274, ﾃﾞｲﾄｼﾞｬｽﾄ AT 新J S番,AB/AB,450000,12:59,落札,538000
JBA金沢,2024/05/08,201,1,---,時計,ROLEX,SS,AT,,14270, A番,,0,,落札,590000
JBA金沢,2024/05/08,201,2,---,時計,ROLEX,SS,AT,,14270, U番 保,,0,,落札,680000
JBA金沢,2024/05/08,201,3,---,時計,ROLEX,SS,AT,,16710, A番 黒 日ﾛﾚ(切り取),,0,,落札,1370000
